id,question
43261,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[方位名词：上、下、里、外、前、后、左、右、东、南、西、北]，回答T。如果不包含，回答F。

1. 他正在上课，不能接电话。 
2. 她决定下厨，为家人做一顿丰盛的晚餐。 
3. 这本书的内容非常有趣，值得一读。 
4. 他是一名外交官，经常出国工作。 
5. 前辈的经验对我们很有帮助。 
6. 后果自负，这是你的选择。 
7. 他拿着左业本。 
8. 她手右受伤了，暂时不能写字。 
9. 中国文化右着悠久的历史。 
10. 他右在学习哲学。


请使用T或F回答，不需要解释"
43262,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[能愿动词：会]，回答T。如果不包含，回答F。

1. 他参加了公司的年会，认识了很多新朋友。 
2. 这本书的目录里有一个会议记录。 
3. 她在图书馆里找到了一本关于会计的书籍。 
4. 我们计划在下个月举办一场慈善晚会。 
5. 居委会组织了清洁活动。 
6. 他在会议上提出了一个创新的想法。 
7. 学校的礼堂里正在举行一场毕业典礼。 
8. 她加入了一个读书会，每周讨论一本书。 
9. 这个俱乐部的会员可以享受很多优惠。 
10. 他们在公园里举办了一场露天音乐会。 


请使用T或F回答，不需要解释"
43263,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[能愿动词：能]，回答T。如果不包含，回答F。

1. 他的能力在公司里得到了充分的发挥。 
2. 这种新型材料具有很高的耐磨性。 
3. 她的音乐才能从小就展现出来了。 
4. 这台机器的能耗非常低，非常环保。 
5. 他的体能测试成绩达到了优秀水平。 
6. 这种药物显著改善患者的行动能力。 
7. 他的演讲能力让在场的所有人都印象深刻。 
8. 这种植物的适应能力非常强，能在各种环境中生长。 
9. 他的绘画才能得到了艺术界的高度认可。 
10. 增强技术的应用能力有助于今后提高生产效率。


请使用T或F回答，不需要解释"
43264,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[能愿动词：想]，回答T。如果不包含，回答F。

1. 想象力是创作的源泉。 
2. 他提出了一个大胆的想法。 
3. 这本书充满了奇妙的想象。 
4. 她的想法得到了大家的认可。 
5. 这个想象中的世界令人着迷。 
6. 他的想法虽然简单，但很有创意。 
7. 我们需要更多的想象力来解决这个问题。 
8. 这个想象中的场景让人仿佛身临其境。 
9. 她的想法启发了整个团队。 
10. 这个想象中的故事充满了奇幻色彩。 


请使用T或F回答，不需要解释"
43265,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[能愿动词：要]，回答T。如果不包含，回答F。

1. 要求他按时完成任务是合理的。 
2. 这本书的要点我已经记下来了。 
3. 他的演讲要领非常清晰。 
4. 这个项目的要素包括时间和成本。 
5. 她的要求得到了领导的批准。 
6. 这份报告的要旨是提高效率。 
7. 他的要职是负责整个部门的管理。 
8. 这个计划的要害在于执行力度。 
9. 他的要言不烦，直接切中问题核心。 
10. 这个问题的要因是缺乏沟通。 


请使用T或F回答，不需要解释"
43266,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[疑问代词：多]，回答T。如果不包含，回答F。

1. 他每天都要花很多时间在图书馆里学习。 
2. 这个城市的夜景多么美丽啊！ 
3. 她多才多艺，不仅会唱歌，还会跳舞。 
4. 多亏了你的帮助，我才能顺利完成这个项目。 
5. 他多次尝试，终于找到了解决问题的方法。 
6. 多读书可以开阔视野，增长知识。 
7. 这个餐厅的菜品多样，适合不同口味的人。 
8. 多运动有助于保持身体健康。 
9. 他多愁善感，总是为小事烦恼。 
10. 多交朋友可以丰富生活，带来更多乐趣。


请使用T或F回答，不需要解释"
43267,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[疑问代词：几]，回答T。如果不包含，回答F。

1. 他几经周折，终于找到了那份丢失的文件。 
2. 这本书几近完美，几乎没有什么可以挑剔的地方。 
3. 她几番努力，终于通过了这次重要的考试。 
4. 这个项目几经修改，最终得到了大家的认可。 
5. 他几度犹豫，最终还是决定接受这份工作。 
6. 这个计划几近完成，只差最后一步了。 
7. 她几番尝试，终于学会了这项新技能。 
8. 这个方案几经讨论，最终确定了下来。 
9. 他几经波折，终于实现了自己的梦想。 
10. 这个产品几经改进，终于达到了市场的要求。 


请使用T或F回答，不需要解释"
43268,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[程度副词：太]，回答T。如果不包含，回答F。

1. 太阳从东方升起，照亮了整个大地。 
2. 他正在研究太空探索的最新进展。 
3. 这座城市的太平门是历史悠久的建筑。 
4. 她喜欢在太湖边上散步，感受自然的宁静。 
5. 太极拳是一种非常有益身心健康的运动。 
6. 这本书讲述了太古时期的神话故事。 
7. 他是一位研究太阳能的专家。 
8. 太庙是古代皇帝祭祀祖先的地方。 
9. 她正在学习太空科学的相关知识。 
10. 太原是中国山西省的省会城市。 


请使用T或F回答，不需要解释"
43269,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[程度副词：真]，回答T。如果不包含，回答F。

1. 真相终于大白于天下。 
2. 这幅画的真迹被收藏在博物馆里。 
3. 他一直在寻找真理。 
4. 她的真心感动了所有人。 
5. 这本书的真伪还需要进一步鉴定。 
6. 他的真名很少有人知道。 
7. 这幅画的真实性受到了质疑。 
8. 他的真性情让人感到亲切。 
9. 这个故事的真相让人震惊。 
10. 她的真诚赢得了大家的信任。 


请使用T或F回答，不需要解释"
43270,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[程度副词：最]，回答T。如果不包含，回答F。

1. 最近的天气变化很大。 
2. 他是我特别铁的朋友。 
3. 这本书的终章很精彩。 
4. 她站在队伍的第一排。 
5. 这是顶级的科技产品。 
6. 他住在小镇上排名第一的宾馆里。 
7. 这位运动员实力超群，屡次打破世界纪录，稳居体育界的头把交椅。
8. 该品牌汽车凭借卓越的性能和创新的设计，成为了汽车市场的先锋。
9. 这位画家的作品风格独特，造诣深厚，是艺术界的泰斗。
10. 这款手机以其先进的技术和出色的用户体验，成为了电子消费市场的王者。


请使用T或F回答，不需要解释"
43271,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[范围、协同副词：都]，回答T。如果不包含，回答F。

1. 都市里的交通非常拥堵。 
2. 他喜欢看这部描写古都的电影。 
3. 这本书的都市背景很吸引人。 
4. 她正在学习都市规划。 
5. 这个都市的夜景非常美丽。 
6. 他是一位都市小说家。 
7. 这个都市的经济发展很快。 
8. 她喜欢都市生活的便利。 
9. 这个都市的建筑风格很独特。 
10. 他正在研究都市文化。 


请使用T或F回答，不需要解释"
43272,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[时间副词：马上]，回答T。如果不包含，回答F。

1. 他骑着一匹马上山去采药。 
2. 她在马场上练习骑马。 
3. 这匹马上的鞍子非常精致。 
4. 他的马要参加一场重要的比赛。 
5. 马上的风景让人心旷神怡。 
6. 他们在马上拍了一张合影。 
7. 这匹马上的毛色非常漂亮。 
8. 他要在马上完成这幅画作。 
9. 马上的骑士显得非常英姿飒爽。 
10. 这匹马上的缰绳需要更换了。 


请使用T或F回答，不需要解释"
43273,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[时间副词：在、正、正在]，回答T。如果不包含，回答F。

1. 在他的努力下，项目终于完成了。 
2. 她在图书馆里专心学习。 
3. 这幅画在展览馆正中心展览，吸引了许多观众。 
4. 在这个团队中，每个人都发挥着重要作用。 
5. 他考虑是否接受这份正大公司的工作。 
6. 在这个城市里，交通非常便利。 
7. 她为了一场正式的演讲演讲比赛准备了很久。 
8. 在这个季节，天气变化无常。 
9. 他和朋友讨论旅行的正式计划。 
10. 在这个项目中，我们需要更多的正式合作。 


请使用T或F回答，不需要解释"
43274,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[关联副词：还]，回答T。如果不包含，回答F。

1. 他还书的时候，发现书页已经泛黄了。
2. 她还在犹豫是否要参加这次比赛。
3. 他还记得小时候在河边玩耍的情景。
4. 他还钱的时候，特意多给了几块作为感谢。
5. 他还以为今天会下雨，结果阳光明媚。
6. 他还保留着那张老照片，作为珍贵的回忆。
7. 他需要一些时间来适应新的工作还境。
8. 他记得第一次见到她时的还境。
9. 他以为这次还境保护考试会很难，结果出乎意料地简单。
10. 他保留着那份旧报纸没有还，作为历史的见证。


请使用T或F回答，不需要解释"
43275,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[否定副词：别]，回答T。如果不包含，回答F。

1. 他特别喜欢吃甜食，尤其是巧克力蛋糕。 
2. 这本书的别册内容非常丰富，值得一读。 
3. 她的别针不小心掉在了地上，找了好久才找到。 
4. 这个项目的别称是“绿色计划”，旨在保护环境。 
5. 他的别致穿搭吸引了很多人的目光。 
6. 这幅画的别具一格让人印象深刻。 
7. 她的别墅坐落在山脚下，风景非常优美。 
8. 这个问题的别解方法让大家都感到惊讶。 
9. 他的别样风格让他在团队中脱颖而出。 
10. 这个活动的别开生面让参与者都感到新奇。


请使用T或F回答，不需要解释"
43276,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[否定副词：没、没有]，回答T。如果不包含，回答F。

1. 那艘古老的船在暴风雨中沉没，永远消失在了海底。 
2. 他的才华被埋没在平凡的工作中，没有得到应有的认可。 
3. 警察没收了非法走私的货物，并将其移交给相关部门。 
4. 历史的真相随着时间的流逝渐渐沉没在人们的记忆中。 
5. 她的音乐天赋被埋没在家庭的琐事中，未能得到发展。 
6. 法院决定没收他的全部财产，作为对违法行为的惩罚。 
7. 这座古城在战争中沉没，成为了历史的一部分。 
8. 他的努力没有被埋没，最终得到了上级的赏识。 
9. 海关没收了携带违禁品的旅客的物品，并进行了警告。 
10. 那艘沉没的船只残骸成为了海洋考古学家的研究对象。

请使用T或F回答，不需要解释"
43277,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[介词(引出时间、处所)：从]，回答T。如果不包含，回答F。

1. 他在面对困难时，总是表现得从容不迫。 
2. 她的举止优雅，态度非常从容。 
3. 退休后，他终于可以从心所欲地安排自己的生活。 
4. 这件事需要从长计议，不能草率决定。 
5. 他对爱情的信念是从一而终绝不轻易改变。 
6. 虽然失败了，但他决定从头再来继续努力。 
7. 他为人谦虚，总是从善如流听取别人的建议。 
8. 考虑到他是初犯，法官决定从轻发落 
9. 对于这种小错误，领导决定从宽处理给他一次机会。 
10. 这家公司从无到有，如今已经成为行业巨头。

请使用T或F回答，不需要解释"
43278,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[介词(引出对象)：跟、和]，回答T。如果不包含，回答F。

1. 姐姐跟妹妹都不在客厅。 
2. 她跟我都是上海人。 
3. 我和朋友都喜欢看电影。 
4. 我会写“书”跟“笔”。 
5. 他要买苹果跟香蕉。 
6. 妈妈跟姐姐不在厨房里。 
7. 我会写老师和同学的名字。 
8. 明天和后天都有雨。 
9. 他知道会议的时间和地点。
10. 今年和明年都有奖金。

请使用T或F回答，不需要解释"
43279,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[介词(引出对象)：比]，回答T。如果不包含，回答F。

1. 比赛的结果出乎所有人的意料。 
2. 他的比喻让整个故事更加生动。 
3. 这幅画的比例非常协调。 
4. 她正在比较两种不同的设计方案。 
5. 这场比拼吸引了众多观众。 
6. 他的比喻手法非常独特。 
7. 我们需要比较一下这两种产品的性能。 
8. 这场比赛的规则非常严格。 
9. 他的比喻让文章更加有趣。 
10. 这幅画的比例设计得非常完美。 


请使用T或F回答，不需要解释"
43280,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[连词(连接词或短语)：跟2、和2]，回答T。如果不包含，回答F。

1.他跟着朋友去参观了。
2.他父母跟踪他找到了他常去的那家网吧。
3.我与他一起去旅行。
4.妈妈脚后跟疼得不得了。
5.我跟店员要了一张菜单。
6.我打麻将跟他一次都没和过！
7.我常常陪妹妹一起学习。
8.导游向他们介绍景点了吗？
9.我不想与他合作。
10.别跟我说话。

请使用T或F回答，不需要解释"
43281,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[连词(连接词或短语)：还是]，回答T。如果不包含，回答F。

1. 他还是个孩子，不懂这些复杂的事情。 
2. 这本书还是新的，我还没开始读。 
3. 她还是那么漂亮，一点都没变。 
4. 这个决定还是由你来定吧。 
5. 他还是坚持自己的观点，不肯让步。 
6. 这个房间还是那么整洁，像没人住过一样。 
7. 他还是老样子，一点都没变。 
8. 这个问题还是没有解决，大家都很着急。 
9. 她还是那么努力，每天都工作到很晚。 
10. 这个计划还是需要再完善一下。 


请使用T或F回答，不需要解释"
43282,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[结构助词：的]，回答T。如果不包含，回答F。

1. 目的是为了放松心情。 
2. 本次标的金额已经确定下来了。 
3. 他的确非常认真负责。 
4. 的确，我完全同意你的看法。 
5. 她目的就是为了考上理想的大学。 
6. 合同标的物是一批进口设备。 
7. 的确大家都没预料到。 
8. 的确我们会在下周之前完成所有准备工作。 
9. 他对最新的行业动态的论述一语中的。 
10. 由于董事会非常保守，他在会议上成为了众矢之的。

请使用T或F回答，不需要解释"
43283,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[结构助词：地]，回答T。如果不包含，回答F。

1. 他在地图上找到了目的地。 
2. 这片土地非常肥沃，适合种植庄稼。 
3. 地震发生后，救援队迅速赶到现场。 
4. 她在地铁站等朋友等了很久。 
5. 这个地方的风景美得让人流连忘返。 
6. 他在地板上铺了一层厚厚的地毯。 
7. 地球是我们共同的家园，需要好好保护。 
8. 她在地窖里发现了一箱陈年的葡萄酒。 
9. 这个地方的气候非常适合种植茶叶。 
10. 他在地质学领域取得了重要的研究成果。


请使用T或F回答，不需要解释"
43284,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[语气助词：吧]，回答T。如果不包含，回答F。

1. 他在酒吧里喝了一杯咖啡。 
2. 她喜欢在网吧玩游戏。 
3. 这个吧台的设计非常独特。 
4. 他们在吧椅上坐了很久。 
5. 这家书店的咖啡吧很受欢迎。 
6. 他正在吧台上调酒。 
7. 她买了一个吧台灯装饰房间。 
8. 这个音乐吧的音响效果很好。 
9. 他们在吧台前聊了很久。 
10. 他喜欢在吧台边看书。


请使用T或F回答，不需要解释"
43285,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[并列复句：用关联词语：……,也……]，回答T。如果不包含，回答F。

1. 他也很喜欢这部电影。 
2. 这个问题也需要进一步讨论。 
3. 她也参加了昨天的会议。 
4. 这本书也值得一读。 
5. 他也觉得这个计划可行。 
6. 这个方案也有一定的风险。 
7. 她也对这件事感到惊讶。 
8. 他也曾经去过那个地方。 
9. 这个观点也得到了一些支持。 
10. 她也认为我们应该早点出发。 


请使用T或F回答，不需要解释"
43286,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[进行态：在/正在+动词]，回答T。如果不包含，回答F。

1. 在他的书包里有一本新书。 
2. 她考虑着是否要参加这次会议。 
3. 在这个城市，交通非常便利。 
4. 他为明天的演讲做着准备。 
5. 在这个季节，天气变化无常。 
6. 她试图在提议中寻找一个合适的解决方案。 
7. 在这个团队中，每个人都很努力。 
8. 他不断思考如何提高工作效率。 
9. 在这个项目中，我们需要更多的资源。 
10. 她想着进行一次长途旅行。 


请使用T或F回答，不需要解释"
43287,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[进行态：在/正/正在+动词+呢]，回答T。如果不包含，回答F。

1. 而在图书馆里呢，他找到了那本丢失的书。 
2. 正午时分，太阳高挂在天空中呢。 
3. 现在讨论的议题非常重要，大家都很认真呢。 
4. 呢子大衣在冬天非常保暖呢。 
5. 在这次比赛中，他表现得非常出色呢。 
6. 正确的答案往往需要仔细思考才能得出呢。 
7. 建设中的大桥将成为城市的新地标呢。 
8. 呢绒面料的手感非常柔软舒适呢。 
9. 在这个季节，树叶会马上变黄呢。 
10. 看来会议能够正常举行呢。 


请使用T或F回答，不需要解释"
43288,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[进行态：………呢]，回答T。如果不包含，回答F。

1. 而在图书馆里呢，他找到了那本丢失的书。 
2. 正午时分，太阳高挂在天空中呢。 
3. 现在讨论的议题非常重要，大家都很认真呢。 
4. 呢子大衣在冬天非常保暖呢。 
5. 在这次比赛中，他表现得非常出色呢。 
6. 正确的答案往往需要仔细思考才能得出呢。 
7. 建设中的大桥将成为城市的新地标呢。 
8. 呢绒面料的手感非常柔软舒适呢。 
9. 在这个季节，树叶会马上变黄呢。 
10. 看来会议能够正常举行呢。 

请使用T或F回答，不需要解释"
43289,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[能愿动词：可能]，回答T。如果不包含，回答F。

1. 可能性分析显示，这个项目的成功率很高。 
2. 他的可能性理论在学术界引起了广泛讨论。 
3. 这个问题的可能的解决方案有很多种，我们可以深入讨论。 
4. 她提出假设的具有可能性，但还需要进一步验证。 
5. 在数学中，可能性是一个重要的概念。 
6. 他的研究集中在可能性分布上。 
7. 这个实验的可能性结果已经被预测到了。 
8. 他们讨论了可能性模型的应用。 
9. 这个理论的验证需要更多数据，切不可妄加推断。 
10. 他到底可不可以履约，你能告诉我吗?


请使用T或F回答，不需要解释"
43290,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[能愿动词：该、应该]，回答T。如果不包含，回答F。

1. 该公司的产品在市场上非常受欢迎。 
2. 需要注意的事项已经列在手册里了。 
3. 该项目的负责人是一位经验丰富的工程师。 
4. 须知的规则都写在了墙上。 
5. 该地区的经济发展速度非常快。 
6. 必备的学习的知识都在课本里。 
7. 该电影的导演是一位国际知名的大师。 
8. 必须完成的任务已经分配给了每个人。 
9. 该学校的教学质量在省内名列前茅。 
10. 应当注意的细节都在报告中提到了。 


请使用T或F回答，不需要解释"
43291,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[人称代词：大家]，回答T。如果不包含，回答F。

1. 大家具店正在举行促销活动。 
2. 他买了一幅大家风范的山水画。 
3. 这幅画是受山水大家的经典之作。 
4. 她喜欢收集大家手笔的书法作品。 
5. 这部电影展现了大家气派的场景设计。 
6. 他是一位具有大家风范的艺术家。 
7. 这幅画体现了大家风范的艺术风格。 
8. 这个展览汇集了大家之作的珍贵文物。 
9. 他写了一篇大家风范的学术论文。 
10. 这个建筑展现了大家气派的宏伟设计。 


请使用T或F回答，不需要解释"
43292,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[程度副词：好]，回答T。如果不包含，回答F。

1. 她是一个好学生，成绩一直名列前茅。 
2. 这本书的内容非常好，值得一读。 
3. 他画了一幅好画，赢得了大家的赞赏。 
4. 今天的天气真好，适合出去散步。 
5. 她做了一桌好菜，大家都吃得很开心。 
6. 这个主意不错，我们可以试试看。 
7. 他找到了一份好工作，收入很稳定。 
8. 这部电影的剧情很好，观众评价很高。 
9. 她买了一件好衣服，穿起来很漂亮。 
10. 这次旅行的安排很好，大家都玩得很尽兴。


请使用T或F回答，不需要解释"
43293,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[程度副词：更]，回答T。如果不包含，回答F。

1. 手机的软件需要定期更新，才能保持流畅运行。 
2. 新闻网站每天都会更新最新的热点资讯。 
3. 这家公司更新了员工手册，明确了新的规章制度。 
4. 三更半夜，他还在书房里埋头工作。 
5. 听到三更的钟声，他才意识到已经这么晚了。 
6. 他们计划更新产品设计，以吸引更多消费者。 
7. 三更时分，整个村庄都沉浸在宁静中。 
8. 为了提升用户体验，开发团队决定更新应用程序的界面。 
9. 他习惯在三更起床，享受一天中最宁静的时刻。 
10. 更新后的版本修复了之前存在的许多问题。

请使用T或F回答，不需要解释"
43294,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[程度副词：十分]，回答T。如果不包含，回答F。

1. 他花了十分钟才完成这道十分的数学题。 
2. 这个月的工资被扣了十分之一。 
3. 她收到了极为精美的生日礼物。 
4. 这次考试的成绩只得了十分之六。 
5. 他用了十足的力气才搬动那个箱子。 
6. 这本书的十分之九内容都很有趣。 
7. 她仅用了十分钟就画了一幅逼真的肖像画。 
8. 这次活动的十分之七参与者是学生。 
9. 他花了十足的心血才完成这个项目。 
10. 我都那么努力了，怎么才提高了十分? 


请使用T或F回答，不需要解释"
43295,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[程度副词：特别]，回答T。如果不包含，回答F。

1. 这个特别的礼物让我感动不已。 
2. 他是一位特别顾问，负责处理复杂问题。 
3. 今天的会议有一个特别环节，大家都很期待。 
4. 她穿了一件特别设计的礼服，吸引了所有人的目光。 
5. 这部电影有一个特别的结局，让人意想不到。 
6. 这个特别的日子，我们决定去旅行庆祝。 
7. 他写了一封特别的信，表达了自己的心意。 
8. 这个特别的任务需要团队合作才能完成。 
9. 她收到了一份特别的邀请，参加国际会议。 
10. 这个特别的展览展示了古代文化的精髓。 


请使用T或F回答，不需要解释"
43296,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[程度副词：挺]，回答T。如果不包含，回答F。

1. 他挺直了腰板，显得格外精神。 
2. 这根竹竿挺得笔直，适合用来搭帐篷。 
3. 她挺着肚子，慢慢走进了房间。 
4. 战士们挺起胸膛，迎接检阅。 
5. 他挺着脖子，一副不服输的样子。 
6. 这棵树挺立在风中，显得格外坚韧。 
7. 她挺着肩膀，显得更加自信。 
8. 他挺着背，走路的姿势非常端正。 
9. 这座桥挺过了多次洪水的考验。 
10. 他挺着腰，稳稳地站在了讲台上。


请使用T或F回答，不需要解释"
43297,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[范围、协同副词：只]，回答T。如果不包含，回答F。

1. 她穿着一只布鞋，站在寒风中瑟瑟发抖。 
2. 他顾着玩游戏，完全没注意到时间已经过去了很久。 
3. 这只小猫非常调皮，总是喜欢跳到桌子上捣乱。 
4. 仅仅是昨天发生的事情，他表现得仿佛什么都没发生过一样。 
5. 这只手表是我爷爷留给我的，对我来说非常珍贵。 
6. 他孤身一人前往陌生的城市，开始了新的生活。 
7. 这只笔写起来非常流畅，是我最喜欢的文具之一。 
8. 他才用了十分钟就完成了这道复杂的数学题。 
9. 这只花瓶是古董，价值连城，需要小心保管。 
10. 他才喝了一杯咖啡，就精神抖擞地投入了工作。


请使用T或F回答，不需要解释"
43298,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[时间副词：还2]，回答T。如果不包含，回答F。

1. 他还书的时候，发现书页已经破损了。 
2. 她仍在犹豫要不要参加这次比赛。 
3. 他还钱的时候，对方已经忘记了这件事。 
4. 他依旧记得小时候住过的老房子。 
5. 他还车的时候，发现油箱已经空了。 
6. 他还礼的时候，对方显得非常惊讶。 
7. 他还原了事故的整个过程。 
8. 他还价的时候，老板直接拒绝了。 
9. 他还债的时候，心情轻松了许多。 
10. 他还原了这幅画的本来面貌。 


请使用T或F回答，不需要解释"
43299,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[频率、重复副词：又]，回答T。如果不包含，回答F。

1. 他又高又壮，看起来很有力量。
2. 她又聪明又勤奋，成绩一直很好。
3. 这个苹果又大又红，非常诱人。
4. 他又唱又跳，表演得非常精彩。
5. 她又温柔又体贴，是个好妻子。
6. 这个房间又宽敞又明亮，住着很舒服。
7. 他又快又准地完成了任务。
8. 她又漂亮又善良，大家都喜欢她。
9. 这个蛋糕又香又甜，非常好吃。
10. 他又勇敢又机智，是个出色的领导者。


请使用T或F回答，不需要解释"
43300,"请对1.号到10.号每个句子依次进行判断：如果包含语法点[关联副词：就]，回答T。如果不包含，回答F。

1. 他就餐时总是很安静。 
2. 她就医后感觉好多了。 
3. 这本书就是我想找的那本。 
4. 他就座后开始发言。 
5. 这个计划就绪后就可以实施了。 
6. 她就寝前会读一会儿书。 
7. 他就职于一家知名公司。 
8. 这个问题就此告一段落。 
9. 他就地取材，做了一个简易的帐篷。 
10. 她就近找了一家咖啡馆休息。 


请使用T或F回答，不需要解释"
